battery_id,model,eligible_prefixes,evaluated_prefixes,prediction_coverage,MAE_cycles,RMSE_cycles,R2,right_censored
B0005,blended_rate,95,95,1.0,13.521919114649341,19.73985363559332,0.4818326841028633,False
B0005,random_forest_rul,95,95,1.0,9.385526605335281,11.977008270346287,0.809243713952203,False
B0005,training_rate,95,95,1.0,10.275245433026903,11.176330989563853,0.8338957787389822,False
B0005,v01_trend,95,95,1.0,161.41683310116338,474.2325218557195,-298.06447444898333,False
B0006,blended_rate,79,79,1.0,11.373056195839625,13.80567044278113,0.6334681992794606,False
B0006,random_forest_rul,79,79,1.0,7.8255922154199515,9.209379471477321,0.8368987110583309,False
B0006,training_rate,79,79,1.0,10.95431111200547,14.397425406410875,0.6013733493592974,False
B0006,v01_trend,79,79,1.0,16.575154389615143,18.078871930660785,0.3714507494514724,False
B0007,blended_rate,139,0,1.0,,,,True
B0007,random_forest_rul,139,0,1.0,,,,True
B0007,training_rate,139,0,1.0,,,,True
B0007,v01_trend,139,0,1.0,,,,True
B0018,blended_rate,67,67,1.0,11.847930369878682,14.757214485263301,0.4177128894008958,False
B0018,random_forest_rul,67,67,1.0,6.10605977298375,7.133138829326502,0.8639527551913223,False
B0018,training_rate,67,67,1.0,6.243745996511991,7.695122071124042,0.8416713805093573,False
B0018,v01_trend,67,67,1.0,31.074511792484,52.95368509148699,-6.497574237348587,False
