split,test_battery,model,n,MAE_pp,RMSE_pp,R2
LOBO_B0005,B0005,train_mean,168,8.561280100347517,9.512599394163702,-0.004289843571218421
LOBO_B0005,B0005,cycle_only_linear,168,1.2548893031606914,1.5396806163656753,0.9736899338463383
LOBO_B0005,B0005,linear_regression,168,2.4188078248974714,2.8326287084253408,0.910948762256645
LOBO_B0005,B0005,random_forest,168,1.5624978939246705,1.8020904816297152,0.9639575884749315
LOBO_B0005,B0005,xgboost,168,2.008117477557439,2.127444975813397,0.9497683634079422
LOBO_B0006,B0006,train_mean,168,11.348865149274483,12.784926978993617,-0.03542180199283029
LOBO_B0006,B0006,cycle_only_linear,168,4.518594593777114,4.884148899188738,0.8488881256620895
LOBO_B0006,B0006,linear_regression,168,6.217227831895643,9.84450964329326,0.3860839621511438
LOBO_B0006,B0006,random_forest,168,3.9370148566129624,4.558576690420678,0.8683625889061006
LOBO_B0006,B0006,xgboost,168,3.801736817177304,4.375945029154584,0.8786989620744875
LOBO_B0007,B0007,train_mean,168,7.430491271850387,9.086706190486845,-0.2825726333836287
LOBO_B0007,B0007,cycle_only_linear,168,5.344664805077796,5.958218754698419,0.448555403126193
LOBO_B0007,B0007,linear_regression,168,14.13195714929476,14.153820097502496,-2.1118334137940042
LOBO_B0007,B0007,random_forest,168,2.265406362173786,2.5188494722615498,0.9014461881243594
LOBO_B0007,B0007,xgboost,168,2.423358728758412,2.606196920790368,0.8944924709634876
LOBO_B0018,B0018,train_mean,132,7.034388345986841,7.861455528683799,-0.038369712007206846
LOBO_B0018,B0018,cycle_only_linear,132,5.178010688610707,5.5189095342162995,0.48825614292749064
LOBO_B0018,B0018,linear_regression,132,3.3621316019128558,3.8058758077975616,0.7566365728944617
LOBO_B0018,B0018,random_forest,132,2.345705415951173,3.3520175297487653,0.8112188401233269
LOBO_B0018,B0018,xgboost,132,2.274711689282233,2.763027372646607,0.8717325495152438
