experiment,split,seed,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah
random_forest,test,42,5982,4,3.5795806257725262,4.848949514363771,0.4159555370986826,3.563614230531943
without_soc_current,test,42,5982,4,4.207998144755984,5.468816772393999,0.2570880707364614,4.197618318492159
without_temperature,test,42,5982,4,3.594218285369038,4.798575335126366,0.4280274050173871,3.576996663135896
without_cell_gap,test,42,5982,4,3.4757556431122567,4.733593290298616,0.4434137574507309,3.459542694211385
