experiment,split,seed,n,vehicles,mae_ah,rmse_ah,r2,vehicle_macro_mae_ah,mean_mae_ah,sample_sd_mae_ah
rf_seed,test,17,5982,4,3.582086395409521,4.843654450051218,0.4172303965071849,3.5663171608532585,3.58132932384675,0.001518951191474746
random_forest,test,42,5982,4,3.5795806257725262,4.848949514363771,0.4159555370986826,3.563614230531943,3.58132932384675,0.001518951191474746
rf_seed,test,2026,5982,4,3.582320950358202,4.854382516248258,0.4146460195154828,3.5665599619157824,3.58132932384675,0.001518951191474746
