scope,key,metric,v2,v3,absolute_difference,tolerance,within_tolerance
metrics.csv,rf_seed|test|2026,rmse_ah,4.854382516248258,4.854382516248258,0.0,0.0001,True
metrics.csv,rf_seed|test|2026,r2,0.4146460195154826,0.4146460195154828,2.220446049250313e-16,0.0001,True
metrics.csv,rf_seed|test|2026,vehicle_macro_mae_ah,3.5665599619157824,3.5665599619157824,0.0,0.0001,True
metrics.csv,without_soc_current|validation|42,n,2864.0,2864.0,0.0,0.0,True
metrics.csv,without_soc_current|validation|42,vehicles,2.0,2.0,0.0,0.0,True
metrics.csv,without_soc_current|validation|42,mae_ah,2.9761676463641056,2.9761676463641056,0.0,0.0001,True
metrics.csv,without_soc_current|validation|42,rmse_ah,3.968235645144275,3.968235645144275,0.0,0.0001,True
metrics.csv,without_soc_current|validation|42,r2,0.4361733185029802,0.4361733185029802,0.0,0.0001,True
metrics.csv,without_soc_current|validation|42,vehicle_macro_mae_ah,3.006346347086287,3.0063463470862875,4.440892098500626e-16,0.0001,True
metrics.csv,without_soc_current|test|42,n,5982.0,5982.0,0.0,0.0,True
metrics.csv,without_soc_current|test|42,vehicles,4.0,4.0,0.0,0.0,True
metrics.csv,without_soc_current|test|42,mae_ah,4.207998144755984,4.207998144755984,0.0,0.0001,True
metrics.csv,without_soc_current|test|42,rmse_ah,5.468816772393998,5.468816772393999,8.881784197001252e-16,0.0001,True
metrics.csv,without_soc_current|test|42,r2,0.2570880707364616,0.2570880707364614,2.220446049250313e-16,0.0001,True
metrics.csv,without_soc_current|test|42,vehicle_macro_mae_ah,4.197618318492159,4.197618318492159,0.0,0.0001,True
metrics.csv,without_temperature|validation|42,n,2864.0,2864.0,0.0,0.0,True
metrics.csv,without_temperature|validation|42,vehicles,2.0,2.0,0.0,0.0,True
metrics.csv,without_temperature|validation|42,mae_ah,2.48921704190764,2.489217041907639,8.881784197001252e-16,0.0001,True
metrics.csv,without_temperature|validation|42,rmse_ah,3.381765252569216,3.381765252569216,0.0,0.0001,True
metrics.csv,without_temperature|validation|42,r2,0.5905153456973902,0.5905153456973901,1.1102230246251565e-16,0.0001,True
metrics.csv,without_temperature|validation|42,vehicle_macro_mae_ah,2.503719336788357,2.503719336788356,8.881784197001252e-16,0.0001,True
metrics.csv,without_temperature|test|42,n,5982.0,5982.0,0.0,0.0,True
metrics.csv,without_temperature|test|42,vehicles,4.0,4.0,0.0,0.0,True
metrics.csv,without_temperature|test|42,mae_ah,3.594218285369038,3.594218285369038,0.0,0.0001,True
metrics.csv,without_temperature|test|42,rmse_ah,4.798575335126366,4.798575335126366,0.0,0.0001,True
metrics.csv,without_temperature|test|42,r2,0.4280274050173871,0.4280274050173871,0.0,0.0001,True
metrics.csv,without_temperature|test|42,vehicle_macro_mae_ah,3.576996663135896,3.576996663135896,0.0,0.0001,True
metrics.csv,without_cell_gap|validation|42,n,2864.0,2864.0,0.0,0.0,True
metrics.csv,without_cell_gap|validation|42,vehicles,2.0,2.0,0.0,0.0,True
metrics.csv,without_cell_gap|validation|42,mae_ah,2.536972563956298,2.536972563956298,0.0,0.0001,True
metrics.csv,without_cell_gap|validation|42,rmse_ah,3.5314391724394945,3.5314391724394945,0.0,0.0001,True
metrics.csv,without_cell_gap|validation|42,r2,0.5534663663710523,0.5534663663710523,0.0,0.0001,True
metrics.csv,without_cell_gap|validation|42,vehicle_macro_mae_ah,2.5368627402272543,2.5368627402272543,0.0,0.0001,True
metrics.csv,without_cell_gap|test|42,n,5982.0,5982.0,0.0,0.0,True
metrics.csv,without_cell_gap|test|42,vehicles,4.0,4.0,0.0,0.0,True
metrics.csv,without_cell_gap|test|42,mae_ah,3.4757556431122567,3.4757556431122567,0.0,0.0001,True
metrics.csv,without_cell_gap|test|42,rmse_ah,4.733593290298616,4.733593290298616,0.0,0.0001,True
metrics.csv,without_cell_gap|test|42,r2,0.4434137574507309,0.4434137574507309,0.0,0.0001,True
metrics.csv,without_cell_gap|test|42,vehicle_macro_mae_ah,3.4595426942113843,3.459542694211385,8.881784197001252e-16,0.0001,True
metrics.csv,noise_1pct|validation|42,n,2864.0,2864.0,0.0,0.0,True
metrics.csv,noise_1pct|validation|42,vehicles,2.0,2.0,0.0,0.0,True
metrics.csv,noise_1pct|validation|42,mae_ah,2.540230771572427,2.540230771572427,0.0,0.0001,True
metrics.csv,noise_1pct|validation|42,rmse_ah,3.4838074522148696,3.4838074522148696,0.0,0.0001,True
metrics.csv,noise_1pct|validation|42,r2,0.5654307388688493,0.5654307388688493,0.0,0.0001,True
metrics.csv,noise_1pct|validation|42,vehicle_macro_mae_ah,2.5555730236618195,2.55557302366182,4.440892098500626e-16,0.0001,True
metrics.csv,noise_1pct|test|42,n,5982.0,5982.0,0.0,0.0,True
metrics.csv,noise_1pct|test|42,vehicles,4.0,4.0,0.0,0.0,True
metrics.csv,noise_1pct|test|42,mae_ah,3.6156533958997534,3.615653395899754,4.440892098500626e-16,0.0001,True
metrics.csv,noise_1pct|test|42,rmse_ah,4.893269732235423,4.893269732235423,0.0,0.0001,True
