model,split,mae_ah_old,mae_ah_v2,mae_delta_ah
train_mean,validation,4.127128026179128,4.127128026179134,6.217248937900877e-15
train_mean,test,5.1380636720010715,5.138063672001076,4.440892098500626e-15
ridge,validation,3.332590753096996,3.332590753097003,7.105427357601002e-15
ridge,test,4.444871966257666,4.444871966257659,-7.105427357601002e-15
random_forest,validation,2.4811165316699277,2.4790096766139627,-0.0021068550559650845
random_forest,test,3.5786735023372187,3.579580625772527,0.0009071234353084101
